统计指标	数值	说明
Contigs总数 (≥0 bp)	7,477,832	所有组装片段
Contigs总数 (≥500 bp)	3,504,598	QUAST默认统计阈值
Contigs总数 (≥1,000 bp)	911,292	用于基因预测和binning
Contigs总数 (≥5,000 bp)	52,594	高质量长片段
Contigs总数 (≥10,000 bp)	15,950	—
Contigs总数 (≥50,000 bp)	709	—
总长度 (≥0 bp)	5.28 Gb	—
总长度 (≥500 bp)	3.76 Gb	统计基准
总长度 (≥1,000 bp)	2.04 Gb	有效组装长度
最大Contig长度	415,772 bp	—
N50	1,097 bp	50%总长度的最短contig
N90	562 bp	90%总长度的最短contig
L50	764,671	达到50%总长度需要的contig数
L90	2,792,803	达到90%总长度需要的contig数
GC含量	62.85%	—
auN	4514.3	面积加权N值
N's per 100 kbp	0.00	无未知碱基
